monthid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,hot,101,102,103,104,106
1,neighborhood,cold,110,208,227,259,270
1,state,hot,101,102,103,104,105
1,state,cold,101,102,103,104,105
2,neighborhood,hot,132,244,250,335,658
2,neighborhood,cold,150,405,548,550,616
2,state,hot,103,215,250,334,666
2,state,cold,108,534,586,650,709
3,neighborhood,hot,103,173,186,215,658
3,neighborhood,cold,233,381,456,481,616
3,state,hot,103,215,666,679,687
3,state,cold,432,557,653,657,709
4,neighborhood,hot,103,132,173,186,244
4,neighborhood,cold,213,456,614,646,691
4,state,hot,173,215,600,666,681
4,state,cold,656,657,682,697,709
5,neighborhood,hot,132,173,186,448,658
5,neighborhood,cold,426,527,646,691,692
5,state,hot,173,450,528,574,666
5,state,cold,464,656,657,694,710
6,neighborhood,hot,132,173,346,658,721
6,neighborhood,cold,359,381,456,616,692
6,state,hot,173,407,566,666,686
6,state,cold,422,523,616,635,678
