weekid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,hot,101,102,103,104,105
1,neighborhood,cold,279,312,422,715,724
1,state,hot,101,102,103,104,105
1,state,cold,101,102,103,104,105
2,neighborhood,hot,101,102,103,104,106
2,neighborhood,cold,208,279,312,422,539
2,state,hot,101,102,103,104,105
2,state,cold,101,102,103,104,105
3,neighborhood,hot,101,102,103,104,106
3,neighborhood,cold,110,227,259,270,312
3,state,hot,101,102,103,104,105
3,state,cold,101,102,103,104,105
4,neighborhood,hot,101,102,103,104,106
4,neighborhood,cold,110,227,259,270,312
4,state,hot,101,102,103,104,105
4,state,cold,101,102,103,104,105
5,neighborhood,hot,101,102,103,104,106
5,neighborhood,cold,110,227,259,270,312
5,state,hot,101,102,103,104,105
5,state,cold,101,102,103,104,105
6,neighborhood,hot,101,102,103,104,106
6,neighborhood,cold,270,312,422,647,715
6,state,hot,101,102,103,104,105
6,state,cold,101,102,103,104,105
7,neighborhood,hot,103,215,244,335,378
7,neighborhood,cold,150,430,523,548,673
7,state,hot,103,215,334,483,574
7,state,cold,108,108,108,108,108
8,neighborhood,hot,103,132,210,250,658
8,neighborhood,cold,131,472,548,550,636
8,state,hot,103,215,250,294,483
8,state,cold,127,127,127,127,298
9,neighborhood,hot,103,186,244,335,658
9,neighborhood,cold,175,293,336,430,623
9,state,hot,103,215,250,334,483
9,state,cold,127,127,298,298,365
10,neighborhood,hot,103,186,215,244,658
10,neighborhood,cold,245,325,381,399,646
10,state,hot,103,215,334,483,495
10,state,cold,127,381,399,399,399
11,neighborhood,hot,103,132,186,215,658
11,neighborhood,cold,203,233,381,616,646
11,state,hot,103,215,314,334,483
11,state,cold,203,203,349,404,616
12,neighborhood,hot,103,132,186,215,658
12,neighborhood,cold,139,358,381,441,496
12,state,hot,103,105,212,215,314
12,state,cold,333,544,650,708,712
13,neighborhood,hot,103,186,215,335,658
13,neighborhood,cold,194,381,456,481,549
13,state,hot,103,212,215,548,632
13,state,cold,262,349,434,544,650
14,neighborhood,hot,103,119,186,215,244
14,neighborhood,cold,301,381,456,673,700
14,state,hot,103,186,215,411,548
14,state,cold,259,262,333,409,712
15,neighborhood,hot,103,173,215,244,658
15,neighborhood,cold,127,456,481,670,691
15,state,hot,105,173,215,528,548
15,state,cold,262,650,691,709,712
16,neighborhood,hot,103,132,173,186,215
16,neighborhood,cold,203,338,609,646,691
16,state,hot,173,215,294,528,548
16,state,cold,262,650,691,709,712
17,neighborhood,hot,132,173,186,244,658
17,neighborhood,cold,213,456,532,614,691
17,state,hot,173,215,272,294,548
17,state,cold,262,456,544,587,709
18,neighborhood,hot,132,173,186,334,658
18,neighborhood,cold,213,399,456,646,663
18,state,hot,173,272,528,548,640
18,state,cold,262,399,456,646,691
19,neighborhood,hot,132,173,272,448,658
19,neighborhood,cold,369,456,646,691,692
19,state,hot,105,173,272,528,548
19,state,cold,262,544,691,709,712
20,neighborhood,hot,132,173,215,448,658
20,neighborhood,cold,233,426,527,548,646
20,state,hot,105,173,536,548,562
20,state,cold,262,422,544,691,709
21,neighborhood,hot,132,173,186,448,658
21,neighborhood,cold,116,125,238,381,616
21,state,hot,173,259,536,548,562
21,state,cold,262,401,422,432,544
22,neighborhood,hot,132,173,378,448,658
22,neighborhood,cold,238,381,456,616,622
22,state,hot,173,448,536,548,562
22,state,cold,262,401,422,432,456
23,neighborhood,hot,132,173,244,658,721
23,neighborhood,cold,381,456,527,616,691
23,state,hot,173,215,548,562,721
23,state,cold,213,262,361,422,515
24,neighborhood,hot,132,173,215,658,670
24,neighborhood,cold,359,381,456,541,618
24,state,hot,173,407,548,562,721
24,state,cold,213,333,422,515,712
25,neighborhood,hot,132,173,346,658,721
25,neighborhood,cold,245,381,385,456,545
25,state,hot,173,448,548,562,721
25,state,cold,213,262,333,422,432
